,VIN_110,County,City,State,Postal_Code,Model_Year,Make,Model,Electric_Vehicle_Type,Clean_Alternative_Fuel_Vehicle_CAFV_Eligibility,Electric_Range,Base_MSRP,Legislative_District,DOL_Vehicle_ID,Electric_Utility,2020_Census_Tract,Latitude,Longitude
10926,KNDC4DLC5P,KING,SEATTLE,WA,98109,2023,KIA,EV6,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,36,228263878,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006701.00,47.63824,-122.35022
10934,YV1H60EP8R,KING,SEATTLE,WA,98112,2024,VOLVO,V60,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,41,0,43,260971371,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006300.00,47.64085,-122.30207
10936,7SAXCBE62N,KING,BELLEVUE,WA,98004,2022,TESLA,MODEL X,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,41,196550679,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023902.00,47.61001,-122.18720
10942,YV4H60JG7S,KING,BELLEVUE,WA,98005,2025,VOLVO,XC90,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,48,276999789,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023701.00,47.64441,-122.16210
10943,JM3KKDHAXR,KING,RENTON,WA,98055,2024,MAZDA,CX-90,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Not eligible due to low battery range,26,0,11,273501770,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025704.00,47.43876,-122.19700
10944,KNDC4DLC4P,KING,KENT,WA,98031,2023,KIA,EV6,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,47,238761106,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029403.00,47.41185,-122.17743
10945,3FMTK3R71N,KITSAP,PORT ORCHARD,WA,98366,2022,FORD,MUSTANG MACH-E,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,26,280836671,PUGET SOUND ENERGY INC,53035092704.00,47.54103,-122.63847
10946,KM8KMDAFXP,KING,SHORELINE,WA,98177,2023,HYUNDAI,IONIQ 5,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,32,257061388,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020800.00,47.72238,-122.36498
10951,YV4H60RJ9S,KING,ISSAQUAH,WA,98027,2025,VOLVO,XC60,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,41,276420952,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025007.00,47.53010,-122.03439
10953,WBAJA9C55J,KING,SAMMAMISH,WA,98075,2018,BMW,530E,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Not eligible due to low battery range,16,52650,41,180484118,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032224.00,47.61344,-122.03539
10954,WBA5P9C01M,KING,SEATTLE,WA,98109,2021,BMW,330E,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Not eligible due to low battery range,20,0,36,268179656,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006702.00,47.63824,-122.35022
10955,7FCTGBAA4S,KITSAP,POULSBO,WA,98370,2025,RIVIAN,R1T,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,23,277382997,PUGET SOUND ENERGY INC,53035091100.00,47.73689,-122.64681
10958,YV4BR00Z8N,KING,SHORELINE,WA,98155,2022,VOLVO,XC90,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Not eligible due to low battery range,18,0,32,274731516,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020500.00,47.75781,-122.31750
10959,YV4H60DL3R,CLARK,BATTLE GROUND,WA,98604,2024,VOLVO,XC60,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,17,265635128,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040408.00,45.78092,-122.53310
10962,YV4H60DE5P,KING,BELLEVUE,WA,98006,2023,VOLVO,XC60,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,41,240332704,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023902.00,47.55584,-122.12096
10966,3MW5P7J01N,KING,SEATTLE,WA,98125,2022,BMW,330E,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Not eligible due to low battery range,22,0,46,240769833,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000101.00,47.72656,-122.30253
10972,7YAKRDDC5S,KING,SEATTLE,WA,98125,2025,HYUNDAI,IONIQ 5,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,46,279949862,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000601.00,47.72656,-122.30253
10976,WP0AD2Y12R,KING,REDMOND,WA,98052,2024,PORSCHE,TAYCAN,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,45,267448765,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032323.00,47.67858,-122.13158
10980,KMHM34AC6P,KING,SEATTLE,WA,98107,2023,HYUNDAI,IONIQ 6,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,43,244403848,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004800.00,47.67597,-122.38591
10986,7JDE23KL6S,KING,WOODINVILLE,WA,98072,2025,VOLVO,EX90,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,45,278024449,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032319.00,47.75448,-122.15545
10987,WVGJNPE20N,KING,SEATTLE,WA,98133,2022,VOLKSWAGEN,ID.4,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,32,221246448,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000402.00,47.71871,-122.35029
10989,7SAXCBE60R,SNOHOMISH,LYNNWOOD,WA,98087,2024,TESLA,MODEL X,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,21,272645544,PUGET SOUND ENERGY INC,53061041816.00,47.85727,-122.27981
10991,KM8K33AG7K,KITSAP,POULSBO,WA,98370,2019,HYUNDAI,KONA,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,258,0,23,237837414,PUGET SOUND ENERGY INC,53035091100.00,47.73689,-122.64681
